"Amasty: Extended Order Grid Properties","Amasty: Extended Order Grid Properties"
"Add to Column Options","Add to Column Options"
"Select ""Yes"" to add this attribute to the list of column options in the order grid.","Select ""Yes"" to add this attribute to the list of column options in the order grid."
"All Websites","All Websites"
General,General
Product,Product
Customer,Customer
Billing,Billing
Shipping,Shipping
Other,Other
Name,Name
SKU,SKU
Type,Type
Options,Options
"Price (Base)","Price (Base)"
"Price (Purchased)","Price (Purchased)"
"Tax Percent","Tax Percent"
"Tax Amount (Base)","Tax Amount (Base)"
"Tax Amount (Purchased)","Tax Amount (Purchased)"
"Discount Percent","Discount Percent"
"Discount Amount (Base)","Discount Amount (Base)"
"Discount Amount (Purchased)","Discount Amount (Purchased)"
"Qty Ordered","Qty Ordered"
"Qty Invoiced","Qty Invoiced"
"Qty Shipped","Qty Shipped"
"Qty Refunded","Qty Refunded"
"Qty Canceled","Qty Canceled"
"Qty Available","Qty Available"
"Subtotal (Base)","Subtotal (Base)"
"Subtotal (Purchased)","Subtotal (Purchased)"
"Track Order","Track Order"
Country:,Country:
State:,State:
Tax:,Tax:
Website:,Website:
Columns,Columns
Column,Column
Title,Title
"Order Grid","Order Grid"
"Hide orders with statuses","Hide orders with statuses"
"Product Image","Product Image"
"Amasty: Order Grid - Product Attributes","Amasty: Order Grid - Product Attributes"
"Rebuild attributes index","Rebuild attributes index"
"Purchase Order Number","Purchase Order Number"
"Coupon Code","Coupon Code"
"Order Tax","Order Tax"
"Order Comments","Order Comments"
"Shipping Method","Shipping Method"
"Total Due","Total Due"
"Total Paid","Total Paid"
Weight,Weight
"Total Qty Ordered","Total Qty Ordered"
Rate,Rate
"G.T. - Tax","G.T. - Tax"
"Tracking Number","Tracking Number"
Fax,Fax
Region,Region
Postcode,Postcode
City,City
Company,Company
Telephone,Telephone
Country,Country
"Product Details","Product Details"
"Items Sku","Items Sku"
